Country/Region	Lat	Long	confirmed	death
Afghanistan	33	65	521	15
Albania	41.1533	20.1683	416	23
Algeria	28.0339	1.6596	1761	256
Andorra	42.5063	1.5218	601	26
Angola	-11.2027	17.8739	19	2
Antigua and Barbuda	17.0608	-61.7964	19	2
Argentina	-38.4161	-63.6167	1975	82
Armenia	40.0691	45.0382	937	12
Australian Capital Territory	-35.4735	149.0124	103	2
New South Wales	-33.8688	151.2093	2822	22
Northern Territory	-12.4634	130.8456	28	0
Queensland	-28.0167	153.4	965	4
South Australia	-34.9285	138.6007	428	3
Tasmania	-41.4545	145.9707	122	4
Victoria	-37.8136	144.9631	1241	13
Western Australia	-31.9505	115.8605	506	6
Austria	47.5162	14.5501	13555	319
Azerbaijan	40.1431	47.5769	991	10
Bahamas	25.0343	-77.3963	42	8
Bahrain	26.0275	50.55	925	6
Bangladesh	23.685	90.3563	424	27
Barbados	13.1939	-59.5432	67	4
Belarus	53.7098	27.9534	1981	19
Belgium	50.8333	4	26667	3019
Benin	9.3077	2.3158	35	1
Bhutan	27.5142	90.4336	5	0
Bolivia	-16.2902	-63.5887	268	19
Bosnia and Herzegovina	43.9159	17.6791	901	36
Brazil	-14.235	-51.9253	19638	1057
Brunei	4.5353	114.7277	136	1
Bulgaria	42.7339	25.4858	635	25
Burkina Faso	12.2383	-1.5616	443	24
Cabo Verde	16.5388	-23.0418	7	1
Cambodia	11.55	104.9167	119	0
Cameroon	3.848	11.5021	820	12
Alberta	53.9333	-116.5765	1451	32
British Columbia	49.2827	-123.1207	1370	50
Grand Princess	37.6489	-122.6655	13	0
Manitoba	53.7609	-98.8139	230	3
New Brunswick	46.5653	-66.4619	112	0
Newfoundland and Labrador	53.1355	-57.6604	239	3
Nova Scotia	44.682	-63.7443	407	2
Ontario	51.2538	-85.3232	6237	222
Prince Edward Island	46.5107	-63.4168	25	0
Quebec	52.9399	-73.5491	11677	241
Saskatchewan	52.9399	-106.4509	285	3
Central African Republic	6.6111	20.9394	8	0
Chad	15.4542	18.7322	11	0
Chile	-35.6751	-71.543	6501	65
Anhui	31.8257	117.2264	991	6
Beijing	40.1824	116.4142	588	8
Chongqing	30.0572	107.874	579	6
Fujian	26.0789	117.9874	351	1
Gansu	37.8099	101.0583	139	2
Guangdong	23.3417	113.4244	1544	8
Guangxi	23.8298	108.7881	254	2
Guizhou	26.8154	106.8748	146	2
Hainan	19.1959	109.7453	168	6
Hebei	39.549	116.1306	327	6
Heilongjiang	47.862	127.7615	638	13
Henan	33.882	113.614	1276	22
Hong Kong	22.3	114.2	989	4
Hubei	30.9756	112.2707	67803	3216
Hunan	27.6104	111.7088	1019	4
Inner Mongolia	44.0935	113.9448	128	1
Jiangsu	32.9711	119.455	651	0
Jiangxi	27.614	115.7221	937	1
Jilin	43.6661	126.1923	98	1
Liaoning	41.2956	122.6085	144	2
Macau	22.1667	113.55	45	0
Ningxia	37.2692	106.1655	75	0
Qinghai	35.7452	95.9956	18	0
Shaanxi	35.1917	108.8701	256	3
Shandong	36.3427	118.1498	783	7
Shanghai	31.202	121.4491	555	7
Shanxi	37.5777	112.2922	168	0
Sichuan	30.6171	102.7103	560	3
Tianjin	39.3054	117.323	183	3
Tibet	31.6927	88.0924	1	0
Xinjiang	41.1129	85.2401	76	3
Yunnan	24.974	101.487	184	2
Zhejiang	29.1832	120.0934	1267	1
Colombia	4.5709	-74.2973	2473	80
Congo (Brazzaville)	-4.0383	21.7587	60	5
Congo (Kinshasa)	-4.0383	21.7587	215	20
Costa Rica	9.7489	-83.7534	558	3
Cote d'Ivoire	7.54	-5.5471	444	3
Croatia	45.1	15.2	1495	21
Diamond Princess	0	0	712	11
Cuba	22	-80	564	15
Cyprus	35.1264	33.4299	595	10
Czechia	49.8175	15.473	5732	119
Faroe Islands	61.8926	-6.9118	184	0
Greenland	71.7069	-42.6043	11	0
Denmark	56.2639	9.5018	5819	247
Djibouti	11.8251	42.5903	150	1
Dominican Republic	18.7357	-70.1627	2620	126
Ecuador	-1.8312	-78.1834	7161	297
Egypt	26	30	1794	135
El Salvador	13.7942	-88.8965	117	6
Equatorial Guinea	1.5	10	18	0
Eritrea	15.1794	39.7823	34	0
Estonia	58.5953	25.0136	1258	24
Eswatini	-26.5225	31.4659	12	0
Ethiopia	9.145	40.4897	65	3
Fiji	-17.7134	178.065	16	0
Finland	64	26	2769	48
French Guiana	3.9339	-53.1258	83	0
French Polynesia	-17.6797	149.4068	51	0
Guadeloupe	16.25	-61.5833	143	8
Mayotte	-12.8275	45.1662	191	2
New Caledonia	-20.9043	165.618	18	0
Reunion	-21.1351	55.2471	382	0
Saint Barthelemy	17.9	-62.8333	6	0
St Martin	18.0708	-63.0501	32	2
Martinique	14.6415	-61.0242	155	6
France	46.2276	2.2137	124869	13197
Gabon	-0.8037	11.6094	44	1
Gambia	13.4432	-15.3101	4	1
Georgia	42.3154	43.3569	234	3
Germany	51	9	122171	2767
Ghana	7.9465	-1.0232	378	6
Greece	39.0742	21.8243	2011	92
Guatemala	15.7835	-90.2308	126	3
Guinea	9.9456	-9.6966	212	0
Guyana	5	-58.75	37	6
Haiti	18.9712	-72.2852	31	2
Holy See	41.9029	12.4534	8	0
Honduras	15.2	-86.2419	382	23
Hungary	47.1625	19.5033	1190	77
Iceland	64.9631	-19.0208	1675	7
India	21	78	7598	246
Indonesia	-0.7893	113.9213	3512	306
Iran	32	53	68192	4232
Iraq	33	44	1279	70
Ireland	53.1424	-7.6921	8089	287
Israel	31	35	10408	95
Italy	43	12	147577	18849
Jamaica	18.1096	-77.2975	63	4
Japan	36	138	5530	99
Jordan	31.24	36.51	372	7
Kazakhstan	48.0196	66.9237	812	10
Kenya	-0.0236	37.9062	189	7
Korea, South	36	128	10450	208
Kuwait	29.5	47.75	993	1
Kyrgyzstan	41.2044	74.7661	298	5
Latvia	56.8796	24.6032	612	3
Lebanon	33.8547	35.8623	609	20
Liberia	6.4281	-9.4295	37	5
Liechtenstein	47.14	9.55	79	1
Lithuania	55.1694	23.8813	999	22
Luxembourg	49.8153	6.1296	3223	54
Madagascar	-18.7669	46.8691	93	0
Malaysia	2.5	112.5	4346	70
Maldives	3.2028	73.2207	19	0
Malta	35.9375	14.3754	350	2
Mauritania	21.0079	10.9408	7	1
Mauritius	-20.2	57.5	318	9
Mexico	23.6345	-102.5528	3441	194
Moldova	47.4116	28.3699	1438	29
Monaco	43.7333	7.4167	90	1
Mongolia	46.8625	103.8467	16	0
Montenegro	42.5	19.3	255	2
Morocco	31.7917	-7.0926	1448	107
Namibia	-22.9576	18.4904	16	0
Nepal	28.1667	84.25	9	0
Aruba	12.5186	-70.0358	86	0
Curacao	12.1696	-68.99	14	1
Sint Maarten	18.0425	-63.0548	50	8
Netherlands	52.1326	5.2913	23097	2511
New Zealand	-40.9006	174.886	1283	2
Nicaragua	12.8654	-85.2072	7	1
Niger	17.6078	8.0817	438	11
Nigeria	9.082	8.6753	305	7
North Macedonia	41.6086	21.7453	711	32
Norway	60.472	8.4689	6314	113
Oman	21	57	484	3
Pakistan	30.3753	69.3451	4695	66
Panama	8.538	-80.7821	2752	66
Papua New Guinea	-6.315	143.9555	2	0
Paraguay	-23.4425	-58.4438	129	6
Peru	-9.19	-75.0152	5897	169
Philippines	13	122	4195	221
Poland	51.9194	19.1451	5955	181
Portugal	39.3999	-8.2245	15472	435
Qatar	25.3548	51.1839	2512	6
Romania	45.9432	24.9668	5467	270
Russia	60	90	11917	94
Rwanda	-1.9403	29.8739	118	0
Saint Lucia	13.9094	-60.9789	15	0
Saint Vincent and the Grenadines	12.9843	-61.2872	12	0
San Marino	43.9424	12.4578	344	34
Saudi Arabia	24	45	3651	47
Senegal	14.4974	-14.4524	265	2
Serbia	44.0165	21.0059	3105	71
Seychelles	-4.6796	55.492	11	0
Singapore	1.2833	103.8333	2108	7
Slovakia	48.669	19.699	715	2
Slovenia	46.1512	14.9955	1160	45
Somalia	5.1521	46.1996	21	1
South Africa	-30.5595	22.9375	2003	24
Spain	40	-4	158273	16081
Sri Lanka	7	81	190	7
Sudan	12.8628	30.2176	17	2
Suriname	3.9193	-56.0278	10	1
Sweden	63	16	9685	870
Switzerland	46.8182	8.2275	24551	1002
Taiwan*	23.7	121	382	6
Tanzania	-6.369	34.8888	32	3
Thailand	15	101	2473	33
Togo	8.6195	0.8248	76	3
Trinidad and Tobago	10.6918	-61.2225	109	8
Tunisia	34	9	671	25
Turkey	38.9637	35.2433	47029	1006
Uganda	1	32	53	0
Ukraine	48.3794	31.1656	2203	69
United Arab Emirates	24	54	3360	16
Bermuda	32.3078	-64.7505	48	4
Cayman Islands	19.3133	-81.2546	45	1
Channel Islands	49.3723	-2.3644	398	9
Gibraltar	36.1408	-5.3536	127	0
Isle of Man	54.2361	-4.5481	201	1
Montserrat	16.7425	-62.1874	9	0
United Kingdom	55.3781	-3.436	73758	8958
Uruguay	-32.5228	-55.7658	473	7
US	37.0902	-95.7129	496535	18586
Uzbekistan	41.3775	64.5853	624	3
Venezuela	6.4238	-66.5897	171	9
Vietnam	16	108	257	0
Zambia	-15.4167	28.2833	40	2
Zimbabwe	-20	30	13	3
Diamond Princess	0	0	0	1
Dominica	15.415	-61.371	16	0
Grenada	12.1165	-61.679	14	0
Mozambique	-18.665695	35.529562	20	0
Syria	34.802075	38.996815	19	2
Timor-Leste	-8.874217	125.727539	2	0
Belize	13.1939	-59.5432	10	2
Recovered	0	0	0	0
Laos	19.85627	102.495496	16	0
Libya	26.3351	17.228331	24	1
West Bank and Gaza	31.9522	35.2332	267	2
Guinea-Bissau	11.8037	-15.1804	36	0
Mali	17.570692	-3.996166	87	7
Saint Kitts and Nevis	17.357822	-62.782998	12	0
Northwest Territories	64.8255	-124.8457	5	0
Yukon	64.2823	-135	8	0
Kosovo	42.602636	20.902977	250	7
Burma	21.9162	95.956	27	3
Anguilla	18.2206	-63.0686	3	0
British Virgin Islands	18.4207	-64.64	3	0
Turks and Caicos Islands	21.694	-71.7979	8	1
MS Zaandam	0	0	9	2
Botswana	-22.3285	24.6849	13	1
Burundi	-3.3731	29.9189	3	0
Sierra Leone	8.460555	-11.779889	8	0
Bonaire, Sint Eustatius and Saba	12.1784	-68.2385	2	0
Malawi	-13.254308	34.301525	9	1
Falkland Islands (Malvinas)	-51.7963	-59.5236	5	0
Saint Pierre and Miquelon	46.8852	-56.3159	1	0
South Sudan	6.877	31.307	4	0
Western Sahara	24.2155	-12.8858	4	0
Sao Tome and Principe	0.18636	6.613081	4	0
Yemen	15.552727	48.516388	1	0
